"id";"level";"dump_id";"detect_time";"updated_at";"device_id";"access_point_id";"short_event_id";"created_at"
"1 meter"
35769117;53;41593;"2014-03-17 16:33:23";"2014-03-17 17:14:55.235277";1821;17;7011459;"2014-03-17 17:13:12.590172"
35769118;53;41593;"2014-03-17 16:33:23";"2014-03-17 17:14:55.237872";1821;17;7011459;"2014-03-17 17:13:12.591757"
35769119;53;41593;"2014-03-17 16:33:23";"2014-03-17 17:14:55.241033";1821;17;7011459;"2014-03-17 17:13:12.593342"
35769120;53;41593;"2014-03-17 16:33:23";"2014-03-17 17:14:55.243378";1821;17;7011459;"2014-03-17 17:13:12.595019"
35769122;72;41593;"2014-03-17 16:33:23";"2014-03-17 17:14:55.248534";1821;17;7011459;"2014-03-17 17:13:12.599131"
35769121;72;41593;"2014-03-17 16:33:23";"2014-03-17 17:14:55.245902";1821;17;7011459;"2014-03-17 17:13:12.597167"
35769127;71;41593;"2014-03-17 16:33:26";"2014-03-17 17:14:55.260667";1821;17;7011459;"2014-03-17 17:13:12.607286"
35769123;53;41593;"2014-03-17 16:33:26";"2014-03-17 17:14:55.250967";1821;17;7011459;"2014-03-17 17:13:12.600764"
35769124;53;41593;"2014-03-17 16:33:26";"2014-03-17 17:14:55.253367";1821;17;7011459;"2014-03-17 17:13:12.602416"
35769125;53;41593;"2014-03-17 16:33:26";"2014-03-17 17:14:55.255665";1821;17;7011459;"2014-03-17 17:13:12.603976"
35769126;69;41593;"2014-03-17 16:33:26";"2014-03-17 17:14:55.258119";1821;17;7011459;"2014-03-17 17:13:12.605564"
35769133;72;41593;"2014-03-17 16:33:29";"2014-03-17 17:14:55.274989";1821;17;7011459;"2014-03-17 17:13:12.616706"
35769128;54;41593;"2014-03-17 16:33:29";"2014-03-17 17:14:55.263056";1821;17;7011459;"2014-03-17 17:13:12.609026"
35769129;53;41593;"2014-03-17 16:33:29";"2014-03-17 17:14:55.265445";1821;17;7011459;"2014-03-17 17:13:12.610569"
35769130;51;41593;"2014-03-17 16:33:29";"2014-03-17 17:14:55.267956";1821;17;7011459;"2014-03-17 17:13:12.612064"
35769131;51;41593;"2014-03-17 16:33:29";"2014-03-17 17:14:55.270297";1821;17;7011459;"2014-03-17 17:13:12.613582"
35769132;55;41593;"2014-03-17 16:33:29";"2014-03-17 17:14:55.272654";1821;17;7011459;"2014-03-17 17:13:12.615148"
35769136;52;41593;"2014-03-17 16:33:31";"2014-03-17 17:14:55.282992";1821;17;7011459;"2014-03-17 17:13:12.621846"
